Drug,N_CellLines,Pearson_r,P_value,NegCorr
BRIVANIB,13,0.329081682826716,0.2722433047121634,False
PHENFORMIN,11,0.3512555150651777,0.2895015634794413,False
C-75,13,-0.3174924677496157,0.290486148107516,True
"VENOTOCLAX, ABT-199, VENECLEXTA, GDC-0199",13,0.3156889821254894,0.29338672620727396,False
NVP-ADW742,10,0.36656265428332835,0.29747958661373014,False
CAY10566,13,0.31244437738666714,0.2986467505719256,False
P22077,10,0.3656926585067821,0.29871537591442754,False
FLUDARABINE,7,-0.45747568118848203,0.30201473704403653,True
TIPIFARNIB,11,0.34258728674823047,0.30238482856023097,False
ENZASTAURIN,12,0.32370283636042896,0.3047006315654898,False
AST-1306,13,0.308173985784759,0.30565119082097575,False
BIX02189,12,-0.3218972021300939,0.30756200619993107,True
"IWP-2, WNT INHIBITOR IWP-2",7,0.4524099951436687,0.3080879400665678,False
"AMG-319, AMG319",10,-0.3589702020935661,0.3083560452235541,True
PCI-34051,7,0.4516464898732236,0.30900788265257956,False
SNX-2112,12,-0.3209486828224347,0.3090710810269426,True
AZD6738,10,0.3547062278609482,0.31455483042681964,False
