Gene,Gene_HGNC,Sample,CNA,Protein
1004,CDH6,TCGA-61-1724-01,1,0.9936
1004,CDH6,TCGA-61-1727-01,0,0.2917
1004,CDH6,TCGA-61-1741-01,-1,-1.4378
1004,CDH6,TCGA-61-1907-01,0,-2.1541
1004,CDH6,TCGA-61-1910-01,0,-0.035
1004,CDH6,TCGA-61-1911-01,0,-1.6134
1004,CDH6,TCGA-61-1914-01,1,1.1435
1004,CDH6,TCGA-61-1915-01,0,-2.1378
1004,CDH6,TCGA-61-1918-01,1,-0.3022
1004,CDH6,TCGA-61-1995-01,0,-0.7042
1004,CDH6,TCGA-61-2008-01,1,0.8231
1004,CDH6,TCGA-61-2087-01,1,-1.0008
1004,CDH6,TCGA-61-2088-01,0,-0.491
1004,CDH6,TCGA-61-2094-01,0,-1.063
1004,CDH6,TCGA-61-2613-01,0,0.1828
10048,RANBP9,TCGA-09-1664-01,0,-0.067
10048,RANBP9,TCGA-13-1404-01,2,0.1224
10048,RANBP9,TCGA-13-1409-01,1,0.1701
10048,RANBP9,TCGA-13-1410-01,1,0.3756
10048,RANBP9,TCGA-13-1482-01,0,-0.0866
10048,RANBP9,TCGA-13-1483-01,2,0.142
10048,RANBP9,TCGA-13-1485-01,0,0.1878
10048,RANBP9,TCGA-13-1487-01,1,0.0176
10048,RANBP9,TCGA-13-1488-01,1,0.0636
10048,RANBP9,TCGA-13-1489-01,1,0.3475
10048,RANBP9,TCGA-13-1492-01,0,0.0675
10048,RANBP9,TCGA-13-1494-01,1,0.2349
10048,RANBP9,TCGA-13-1497-01,1,0.1253
10048,RANBP9,TCGA-13-1500-01,0,0.0122
10048,RANBP9,TCGA-13-1501-01,0,0.1618
10048,RANBP9,TCGA-13-1504-01,0,0.0524
10048,RANBP9,TCGA-13-1507-01,0,-0.0015
10048,RANBP9,TCGA-13-1511-01,0,0.0739
10048,RANBP9,TCGA-13-2059-01,-1,0.0993
10048,RANBP9,TCGA-13-2060-01,1,0.0862
10048,RANBP9,TCGA-13-2061-01,1,0.5279
10048,RANBP9,TCGA-13-2065-01,2,-0.3713
10048,RANBP9,TCGA-23-1121-01,2,0.5063
10048,RANBP9,TCGA-23-1122-01,1,0.1621
10048,RANBP9,TCGA-24-1103-01,-1,-0.3473
10048,RANBP9,TCGA-24-1416-01,-1,-0.0872
10048,RANBP9,TCGA-24-1422-01,0,0.1622
10048,RANBP9,TCGA-24-1430-01,1,0.2569
10048,RANBP9,TCGA-24-1431-01,0,0.0848
10048,RANBP9,TCGA-24-1435-01,2,0.3351
10048,RANBP9,TCGA-24-1436-01,-1,-0.1746
10048,RANBP9,TCGA-24-1464-01,1,0.1763
10048,RANBP9,TCGA-24-1474-01,1,0.5842
10048,RANBP9,TCGA-24-1544-01,0,0.2594
10048,RANBP9,TCGA-24-1548-01,0,-0.0747
10048,RANBP9,TCGA-24-1553-01,1,-0.1478
10048,RANBP9,TCGA-24-1555-01,1,0.1238
10048,RANBP9,TCGA-24-1557-01,1,-0.2932
10048,RANBP9,TCGA-24-1558-01,1,-0.0539
10048,RANBP9,TCGA-24-1562-01,0,-0.0362
10048,RANBP9,TCGA-24-1565-01,0,0.2021
10048,RANBP9,TCGA-24-1920-01,2,0.1405
10048,RANBP9,TCGA-24-1927-01,1,0.1537
10048,RANBP9,TCGA-24-2024-01,0,-0.0753
10048,RANBP9,TCGA-24-2030-01,1,0.6587
10048,RANBP9,TCGA-24-2033-01,1,0.0664
10048,RANBP9,TCGA-24-2261-01,1,0.2982
10048,RANBP9,TCGA-24-2289-01,1,0.0174
10048,RANBP9,TCGA-24-2290-01,0,-0.3437
10048,RANBP9,TCGA-24-2298-01,-1,-0.6149
10048,RANBP9,TCGA-25-1312-01,1,0.1702
10048,RANBP9,TCGA-25-1313-01,2,0.169
10048,RANBP9,TCGA-25-1318-01,1,0.105
10048,RANBP9,TCGA-25-1322-01,1,0.0531
10048,RANBP9,TCGA-25-1323-01,1,0.2288
10048,RANBP9,TCGA-25-1329-01,-1,0.0498
10048,RANBP9,TCGA-25-1623-01,0,-0.7194
10048,RANBP9,TCGA-25-1628-01,-1,-0.1544
10048,RANBP9,TCGA-25-1631-01,0,0.2515
10048,RANBP9,TCGA-25-2396-01,-1,-0.3227
