Gene,Entrez ID,Regression Coefficient (Effect Size),P-value,Sample Size,R-squared
FAM8A1,51439,0.11773853612761966,0.002398841628760333,66,0.1350802479049633
PDE4D,5144,0.12938389312977105,0.01592136938090976,78,0.07408148864111908
DCDC2,51473,0.20414730679156912,0.0006008048408125139,115,0.09935858433726907
ISYNA1,51477,0.2225183800623052,7.288084856548423e-05,119,0.1263301555194235
TMEM14C,51522,0.273601625526791,2.857377235105364e-11,119,0.3161141602622546
ZC3HC1,51530,0.05810185084376701,0.04400441315296748,119,0.03421889048561977
PCF11,51585,0.09551953849471638,0.0004951718335157848,119,0.09890772093659705
LSR,51599,0.18426289009497962,1.702970963626887e-08,119,0.23889993477210636
ZFR,51663,0.047657482394366214,0.02932550418726371,119,0.03993842075888676
NUB1,51667,0.18490345828933466,8.723435581184747e-10,119,0.2757594014689929
SELENOT,51714,0.16702382650029712,1.5115329057612398e-05,116,0.15206238763004465
DNAJB11,51726,0.18737697898032196,1.0288117221529228e-10,119,0.30124601136784035
