Gene,Regression Coefficient (Effect Size),P-value,Sample Size,R-squared
MEAF6,0.02568209698297324,0.22074361372562096,116,0.013124641150791705
FNDC3B,0.09862379983726607,0.00549304297946071,119,0.06403195314275112
DEPTOR,0.18381231660930986,2.8667024863673005e-05,119,0.13949976100530548
ST6GAL1,0.15515311158798292,0.0018379175820829124,119,0.07992434191052711
ST3GAL1,0.1657790010741138,0.02086560631602319,88,0.060520780491020276
ELOVL1,0.2433775390345222,7.065943908464441e-08,110,0.2367497901314327
PPP1R3G,0.2064678947368421,0.0043403227536105635,84,0.0949969679540269
RASAL3,-0.007095487106017172,0.9373904782070243,86,7.388957640763749e-05
MRPS26,0.04901154819124717,0.05278657512370705,119,0.03168115782142422
MRPS15,0.006034590163934432,0.8530476918781014,119,0.0002944654859465823
MRPL34,0.011745288406624798,0.8194569762251114,86,0.0006236871898077645
MRPL9,0.029624254545454552,0.4996465355353179,119,0.003903796157475048
TMEM135,0.03373322440087144,0.7140216513721827,63,0.002217180419230358
KRI1,0.2536089696777266,3.718876964108679e-15,119,0.41182998127785053
INTS3,0.06630748265609515,0.014894008747491968,119,0.04961773063606967
WNK1,0.16446318129988596,1.9745780481276378e-08,119,0.2370205088829226
SLC2A1,0.24738227202130036,0.000944413616156724,119,0.08957676718056551
SLC4A2,0.14970883620689657,4.345681611913798e-05,119,0.1336445369698871
C8orf33,0.20469093260525933,4.2479697255472073e-05,104,0.1521765385655297
GPR89A,0.09879452173913046,0.004899835411565762,119,0.06568961734770917
HLTF,0.20291911029218218,6.297690447051241e-09,119,0.25142591959147065
SMARCA4,0.06584732899943471,0.02152695037933983,119,0.04433878380207956
BRD9,0.041008603238866397,0.2045471253259143,98,0.01671292655590806
KCTD14,0.13170173069841662,0.11888299521253046,108,0.022787777155956257
MTMR9,0.08017924028268553,0.018182273477325827,98,0.05673813329065136
SMARCD3,0.035978858974358964,0.42738298950404785,101,0.006374668484447232
POLR3D,0.048055633083730426,0.16722692619826285,111,0.017427870976827187
SNTB1,0.1665514755857628,6.514158438935774e-06,119,0.1601242271466703
BNIP3L,0.1312159090909091,0.02241765320055136,54,0.09625831088580694
SPAG1,0.19909004711425213,0.00460418825521576,73,0.10762759543870004
BPGM,0.01334262077294687,0.8037320641518183,119,0.0005300022578317298
BPHL,0.27921989355845106,6.081340475264135e-10,119,0.280121022666148
SQLE,0.16944552845528452,0.00044482784733013695,119,0.1004535809707835
