Biomarker,Biomarker_HGNC,Endpoint,N_patients,N_amplified,N_not_amplified,Amp_frequency,Univariate_HR,Univariate_coef,Univariate_p,Univariate_CI_lower,Univariate_CI_upper,Adjusted_HR,Adjusted_coef,Adjusted_p,Adjusted_CI_lower,Adjusted_CI_upper,Univariate_FDR,Adjusted_FDR
10059,DNM1L,PFS,469,24,445,0.0511727078891258,0.8602749690525854,-0.1505032093812985,0.5367354070999844,0.533654772637854,1.3868010937487694,0.8401951081457849,-0.1741211425135251,0.4755611149971656,0.5207664108347163,1.355555590884986,0.9790247257982192,0.8908228531612116
7913,DEK,PFS,469,38,431,0.0810234541577825,0.8818795506375013,-0.1256997962041043,0.5391619930845725,0.5904346237283248,1.3171848509183088,0.8640818101255067,-0.1460878270154112,0.4764175506790044,0.5779954687710938,1.2917702904786377,0.9790247257982192,0.8908228531612116
64434,NOM1,PFS,469,33,436,0.0703624733475479,1.1204391954798718,0.1137207472619838,0.5995121804769503,0.7328997762144481,1.7128999510026517,1.1672797706432003,0.1546760594853649,0.4791335992319419,0.7605611086847544,1.7914958408918646,0.9790247257982192,0.8908228531612116
1207,CLNS1A,PFS,469,39,430,0.0831556503198294,0.8828129705546887,-0.1246419121897182,0.5572094085389616,0.5822699453795028,1.338483545585777,0.8607225653191098,-0.1499830502669743,0.4814972324770163,0.5668825029428521,1.306872818623923,0.9790247257982192,0.8908228531612116
7534,YWHAZ,PFS,469,56,413,0.1194029850746268,1.123320772320162,0.1162892737228074,0.4656120368282,0.8219390678476081,1.535210585415218,1.1175474060110806,0.1111364680922466,0.485700403368988,0.8176622440495517,1.5274182142699118,0.9790247257982192,0.8908228531612116
90522,YIF1B,PFS,469,42,427,0.0895522388059701,1.1704677673379933,0.1574034700540667,0.3921221986479283,0.8162011533723201,1.678501419309128,1.136811141022451,0.1282270980891585,0.4888936458548676,0.7906370210497815,1.6345548411543411,0.9790247257982192,0.8908228531612116
54464,XRN1,PFS,469,33,436,0.0703624733475479,1.136700449113304,0.1281297228132068,0.5468923132457683,0.7492100196459587,1.724600415281375,1.1585752343660605,0.1471910039695011,0.4898096400658316,0.7629682874760769,1.75930847417883,0.9790247257982192,0.8908228531612116
22827,PUF60,PFS,469,124,345,0.2643923240938166,1.054987805458687,0.0535292080542946,0.6623914203393834,0.8296395491508205,1.3415455794094548,1.0897626938104603,0.0859599604378377,0.4904452688266444,0.8535484071056886,1.391347835617227,0.9880143424235552,0.8908228531612116
5504,PPP1R2,PFS,469,79,390,0.1684434968017057,0.8929157030356467,-0.1132631000578383,0.4481143840049654,0.6663695512883417,1.196480918412564,0.9024847290069172,-0.1026035096862176,0.4925386533644759,0.6732538536714376,1.2097646105538256,0.9790247257982192,0.8908228531612116
11047,ADRM1,PFS,469,35,434,0.0746268656716417,0.8703961526784427,-0.1388068230666493,0.5062135675770382,0.5780637911482178,1.3105637720235377,0.8673250277294346,-0.1423414846465889,0.4954753549207102,0.5760081072116086,1.3059758956647969,0.9790247257982192,0.8908228531612116
